# Sessions (20 most recent)

| Source | Updated | CWD | ID | Summary |
|---|---|---|---|---|
| claude | just now | /Users/yigitkonur/dev/cli-sessionr | 135e0b78 | optimize-agentic-cli /optimize-agentic-cli i wa... |
| claude | 9m ago | /Users/yigitkonur/dev/cli-sessionr | 2d9100c7 | why the skills i installed like run-agent-brows... |
| claude | 16m ago | /Users/yigitkonur/dev/cli-sessionr | 133504d1 | Caveat: The messages below were generated by th... |
| claude | 1h ago | /Users/yigitkonur/dev/codex-bridge | 8e46722b | 1+1 |
| claude | 1h ago | /Users/yigitkonur/dev/saas-zeoradar | 8ac09cfe | lets push it by make scripts and make it complete |
| claude | 1h ago | /Users/yigitkonur/dev/website-zeo | 56f02596 | lets build and push it |
| claude | 1h ago | /Users/yigitkonur | 2d895763 | use scw and create 3 development instsances lik... |
| claude | 1h ago | /Users/yigitkonur/dev/saas-wope-ai | e391cef3 | let'us use `agent-browser --help` and make sure... |
| claude | 2h ago | /Users/yigitkonur/dev/saas-wope-ai | c50ac273 | Caveat: The messages below were generated by th... |
| claude | 2h ago | /Users/yigitkonur/dev/saas-wope-ai | f4c822d6 | lets run make script and make it all pushed pro... |
| claude | 15h ago | /Users/yigitkonur/dev/lets-talk | c936d7d4 | we recently installed new vm for codex on scw f... |
| claude | 18h ago | /Users/yigitkonur/dev/tmux-login | 0da19f05 | when i do normal ssh into this machine, tmux lo... |
| claude | 18h ago | /Users/yigitkonur/dev/saas-zeoradar | 02a680e4 | Caveat: The messages below were generated by th... |
| claude | 18h ago | /Users/yigitkonur/dev/codex-lb | b5db3855 | now login new one: harris_purnama@premkuy.web.i... |
| claude | 18h ago | /Users/yigitkonur/dev/lets-talk | cfbfd0e4 | lets run this app |
| codex | 18h ago | /Users/yigitkonur/dev/lets-talk | 019e2183 |  |
| codex | 19h ago | /Users/yigitkonur/dev/lets-talk | 019e2769 | Read ~/MISSION_PROTOCOL.md if available. Read-o... |
| codex | 19h ago | /Users/yigitkonur/dev/lets-talk | 019e2767 | Read ~/MISSION_PROTOCOL.md if available before ... |
| codex | 19h ago | /Users/yigitkonur/dev/lets-talk | 019e2755 | Read ~/MISSION_PROTOCOL.md first if available. ... |
| codex | 20h ago | /Users/yigitkonur/dev/lets-talk | 019e2743 | You are doing a fresh-context completion audit ... |

Tip: sessionr read 135e0b78 to open a session

